id,volume_id,book_title,book_title_long,boot_title_short,book_title_jst,book_subtitle,lds_org,num_chapters,num_verses
"1","1","Genesis","The First Book of Moses called Genesis","Gen.","","","gen","50","1533"
"2","1","Exodus","The Second Book of Moses called Exodus","Ex.","","","ex","40","1213"
"3","1","Leviticus","The Third Book of Moses called Leviticus","Lev.","","","lev","27","859"
"4","1","Numbers","The Fourth Book of Moses called Numbers","Num.","","","num","36","1288"
"5","1","Deuteronomy","The Fifth Book of Moses called Deuteronomy","Deut.","","","deut","34","959"
"6","1","Joshua","The Book of Joshua","Josh.","","","josh","24","658"
"7","1","Judges","The Book of Judges","Judg.","","","judg","21","618"
"8","1","Ruth","The Book of Ruth","Ruth","","","ruth","4","85"
"9","1","1 Samuel","The First Book of Samuel","1 Sam.","","Otherwise called the First Book of the Kings","1_sam","31","810"
"10","1","2 Samuel","The Second Book of Samuel","2 Sam.","","Otherwise called the Second Book of the Kings","2_sam","24","695"
"11","1","1 Kings","The First Book of the Kings","1 Kgs.","","Commonly called the Third Book of the Kings","1_kgs","22","816"
"12","1","2 Kings","The Second Book of the King","2 Kgs.","","Commonly called the Fourth Book of the Kings","2_kgs","25","719"
"13","1","1 Chronicles","The First Book of the Chronicles","1 Chr.","","","1_chr","29","942"
"14","1","2 Chronicles","The Second Book of the Chronicles","2 Chr.","","","2_chr","36","822"
"15","1","Ezra","Ezra","Ezra","","","ezra","10","280"
"16","1","Nehemiah","The Book of Nehemiah","Neh.","","","neh","13","406"
"17","1","Esther","The Book of Esther","Esth.","","","esth","10","167"
"18","1","Job","The Book of Job","Job","","","job","42","1070"
"19","1","Psalms","The Book of Psalms","Ps.","","","ps","150","2461"
"20","1","Proverbs","The Proverbs","Prov.","","","prov","31","915"
"21","1","Ecclesiastes","Ecclesiastes or, The Preacher","Eccl.","","","eccl","12","222"
"22","1","Solomon's Song","The Song of Solomon","Song.","","","song","8","117"
"23","1","Isaiah","The Book of the Prophet Isaiah","Isa.","","","isa","66","1292"
"24","1","Jeremiah","The Book of the Prophet Jeremiah","Jer.","","","jer","52","1364"
"25","1","Lamentations","The Lamentations of Jeremiah","Lam.","","","lam","5","154"
"26","1","Ezekiel","The Book of the Prophet Ezekiel","Ezek.","","","ezek","48","1273"
"27","1","Daniel","The Book of Daniel","Dan.","","","dan","12","357"
"28","1","Hosea","Hosea","Hosea","","","hosea","14","197"
"29","1","Joel","Joel","Joel","","","joel","3","73"
"30","1","Amos","Amos","Amos","","","amos","9","146"
"31","1","Obadiah","Obadiah","Obad.","","","obad","1","21"
"32","1","Jonah","Jonah","Jonah","","","jonah","4","48"
"33","1","Micah","Micah","Micah","","","micah","7","105"
"34","1","Nahum","Nahum","Nahum","","","nahum","3","47"
"35","1","Habakkuk","Habakkuk","Hab.","","","hab","3","56"
"36","1","Zephaniah","Zephaniah","Zeph.","","","zeph","3","53"
